"SQGDP2 Gross domestic product (GDP) by state 1/"
"Gross domestic product (GDP) by state: All industry total (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3"
"37000","North Carolina",413761.4,418039.2,420370.5,427939.2,426881.7,434189.0,432304.8,433515.4,442890.2,441916.5,447960.3,447614.3,454847.2,457111.4,465204.6,471912.5,475814.0,479200.7,487121.2,490629.3,501311.0,508250.3,512580.4,513573.2,519642.5,524137.6,527634.7,532704.3,541666.9,545455.4,551567.4,559992.8,564158.9,570233.3,572001.7,573533.0,586402.8,593355.3,598795.3,604068.1,606710.2,549497.7,596444.6,606663.8,627040.5,646207.3,659616.1
"38000","North Dakota",34096.2,35173.4,36089.5,37345.5,38574.8,40388.1,42081.7,45306.0,48721.5,51569.7,53022.3,54016.7,52790.9,53694.6,55361.8,55236.6,57228.5,60165.9,61050.3,61260.4,57488.3,56469.2,55492.0,54538.1,51046.9,51578.5,52213.6,53117.9,54299.8,54897.5,55260.6,56453.9,58687.1,59378.5,59459.1,58845.8,58296.9,58769.9,59003.1,59948.2,56611.8,49891.9,55395.6,57517.5,61700.8,64978.5,66632.2
"39000","Ohio",488376.2,496834.5,505466.3,511384.4,515875.4,523662.2,531907.2,541315.0,539255.8,546223.1,549189.9,548291.8,559736.7,560521.1,567981.6,577890.2,579409.6,592476.9,603948.0,606729.1,605471.3,610885.7,611441.6,616279.3,612773.3,621300.9,626576.6,632410.5,632678.8,637071.2,643332.9,653900.4,654377.3,665169.0,671082.3,677267.2,680513.6,690299.6,697900.9,704083.0,696626.1,630460.7,685790.1,697367.9,710819.6,732117.2,745000.1
"40000","Oklahoma",150164.2,153425.3,155877.3,157683.0,158697.9,165263.0,168959.9,172022.5,173950.2,174506.3,174260.4,176780.8,180231.8,180755.8,183127.0,186664.3,191077.0,196293.0,201385.7,197770.8,188681.7,186373.4,187137.4,185069.9,177210.4,180390.9,182473.2,184903.0,187639.6,189273.1,190633.9,195151.4,198670.5,202106.0,203737.3,205352.7,199052.4,203319.8,204941.8,207485.0,197204.0,170950.3,189727.6,194344.7,199191.9,205558.5,211052.6
"41000","Oregon",163255.0,162814.5,164742.3,165736.9,169414.9,170136.9,169998.8,172973.0,174351.4,175184.4,175561.2,173346.8,176898.0,177996.1,180369.1,182847.5,182531.0,186849.4,190531.1,192571.1,197022.3,199028.2,202943.2,203644.6,208402.5,210385.3,212101.0,214334.7,218751.6,220428.0,223691.1,227584.3,233088.6,236532.1,238281.4,240361.9,243368.2,245837.1,247999.8,249383.2,250990.2,227090.7,247175.6,249850.9,256357.8,264113.3,270120.2
"42000","Pennsylvania",590889.5,601125.4,610578.4,616353.9,610520.2,622117.8,629445.2,637195.7,641584.3,647656.2,652646.9,649816.0,660425.4,665443.2,670007.2,678400.4,678505.8,690745.6,701835.0,705484.0,709728.5,714130.6,715545.5,717406.8,718254.2,724346.2,728938.3,734709.1,734610.7,740364.3,748124.1,756946.0,759634.4,770317.1,776048.1,784446.1,784639.9,795604.6,805954.2,812546.0,795604.8,717797.7,780295.8,793893.3,809189.8,832704.0,849817.7
"44000","Rhode Island",48570.4,49346.4,49881.1,50075.5,49039.1,50530.6,50508.6,50746.1,51277.6,51623.1,51769.4,51662.0,52814.7,52559.8,53152.8,53609.0,53834.0,54190.9,54637.6,55576.2,55800.3,56380.5,56395.1,56987.3,56828.2,56983.3,57554.5,58048.0,57325.5,57667.0,57896.7,58873.9,58369.1,59166.8,59499.9,59480.1,60135.5,60889.5,61717.8,62533.6,61799.2,56825.3,61273.5,62327.4,62273.1,64170.5,65348.0
"45000","South Carolina",163087.4,165462.3,166741.0,168149.3,169265.5,172338.3,172645.5,174051.1,176868.5,177338.2,178248.0,178018.0,182639.5,182372.4,186285.4,188738.9,189404.7,194084.6,196306.2,197615.2,201236.3,204010.6,208210.2,209809.6,212533.8,214634.8,216020.3,217292.1,220212.0,221110.9,223379.6,227477.1,229138.1,233603.0,235138.1,236782.0,240659.4,243171.7,246021.7,248796.4,250492.5,227489.2,249007.8,252537.3,258333.3,266078.5,271374.4
"46000","South Dakota",36693.1,37127.9,38434.5,39154.4,40546.0,41384.5,41989.1,43648.7,44208.7,44318.0,42376.2,44703.1,45176.6,45321.9,45524.2,45421.5,46686.6,47358.2,46728.2,46368.5,47108.9,47542.3,48164.3,49465.2,47613.1,48858.5,49869.2,50264.9,50731.9,50422.2,50028.9,50014.6,52476.7,52429.1,52206.0,52505.2,53381.5,53681.3,54223.5,54473.3,56768.1,50659.8,55134.6,56595.1,58263.9,60810.4,61732.4
"47000","Tennessee",255253.9,256782.9,258035.0,261032.0,263046.6,268001.1,271961.4,276247.9,281241.5,286905.2,287425.2,289793.9,295031.0,293120.1,296056.9,299243.0,299850.3,304617.4,308659.4,311485.5,318009.3,324676.4,328626.3,329864.2,332715.7,335351.5,336705.5,340882.9,344436.5,347619.5,351236.6,356058.1,356362.8,361798.4,362477.9,364887.0,369726.4,374200.9,379347.9,384390.8,385084.1,335381.6,374745.9,383085.4,399015.6,411689.2,421086.3
"48000","Texas",1223263.6,1232018.4,1252740.9,1275814.8,1303586.3,1340245.0,1348558.1,1372948.1,1397505.5,1407203.6,1422024.7,1457986.7,1480600.7,1504689.6,1533953.0,1541539.0,1543903.2,1581236.8,1602329.8,1589728.1,1576808.8,1571265.7,1575692.5,1570226.5,1544875.4,1570317.8,1589593.5,1611272.9,1639052.7,1658947.3,1681959.2,1728484.4,1771498.6,1809853.1,1824391.1,1833083.0,1843237.1,1859484.0,1868548.2,1884546.1,1840887.8,1634208.1,1794321.0,1832934.5,1886861.7,1950358.9,2006662.1
"49000","Utah",116383.5,116819.7,119234.0,122242.0,123234.6,125661.1,126310.4,127053.8,129079.6,129035.0,129025.8,130909.6,133362.7,134422.1,136800.1,137216.6,139570.1,141655.3,142978.9,144396.2,146212.0,148557.2,149985.2,151859.1,154696.0,156826.7,158879.5,160907.1,164237.3,166217.4,168905.2,172873.6,178186.8,182401.7,184361.2,185624.5,192650.4,194484.7,196101.2,197117.2,203613.9,184855.9,199793.0,201984.9,206417.4,212854.5,217702.2
