State,State Code,Year,Month Code,Gender,Deaths
Alaska,2,2012,2012/04,Female,150
Alaska,2,2012,2012/04,Male,192
Alaska,2,2012,2012/05,Female,142
Alaska,2,2012,2012/05,Male,149
Alaska,2,2012,2012/06,Female,146
Alaska,2,2012,2012/06,Male,163
Alaska,2,2012,2012/07,Female,129
Alaska,2,2012,2012/07,Male,177
Alaska,2,2012,2012/08,Female,132
Alaska,2,2012,2012/08,Male,159
Alaska,2,2012,2012/09,Female,138
Alaska,2,2012,2012/09,Male,185
Alaska,2,2012,2012/10,Female,139
Alaska,2,2012,2012/10,Male,210
Alaska,2,2012,2012/11,Female,149
Alaska,2,2012,2012/11,Male,212
Alaska,2,2012,2012/12,Female,167
Alaska,2,2012,2012/12,Male,195
Alaska,2,2013,2013/01,Female,150
Alaska,2,2013,2013/01,Male,212
Alaska,2,2013,2013/02,Female,125
Alaska,2,2013,2013/02,Male,184
Alaska,2,2013,2013/03,Female,163
Alaska,2,2013,2013/03,Male,214
Alaska,2,2013,2013/04,Female,134
Alaska,2,2013,2013/04,Male,160
Alaska,2,2013,2013/05,Female,152
Alaska,2,2013,2013/05,Male,167
Alaska,2,2013,2013/06,Female,126
Alaska,2,2013,2013/06,Male,197
Alaska,2,2013,2013/07,Female,138
Alaska,2,2013,2013/07,Male,187
Alaska,2,2013,2013/08,Female,138
Alaska,2,2013,2013/08,Male,204
Alaska,2,2013,2013/09,Female,150
Alaska,2,2013,2013/09,Male,178
Alaska,2,2013,2013/10,Female,168
Alaska,2,2013,2013/10,Male,187
Alaska,2,2013,2013/11,Female,144
Alaska,2,2013,2013/11,Male,188
Alaska,2,2013,2013/12,Female,162
Alaska,2,2013,2013/12,Male,169
Alaska,2,2014,2014/01,Female,145
Alaska,2,2014,2014/01,Male,224
Alaska,2,2014,2014/02,Female,116
Alaska,2,2014,2014/02,Male,179
Alaska,2,2014,2014/03,Female,132
Alaska,2,2014,2014/03,Male,195
Alaska,2,2014,2014/04,Female,128
Alaska,2,2014,2014/04,Male,169
Alaska,2,2014,2014/05,Female,147
Alaska,2,2014,2014/05,Male,201
Alaska,2,2014,2014/06,Female,131
Alaska,2,2014,2014/06,Male,196
Alaska,2,2014,2014/07,Female,146
Alaska,2,2014,2014/07,Male,214
Alaska,2,2014,2014/08,Female,133
Alaska,2,2014,2014/08,Male,207
Alaska,2,2014,2014/09,Female,139
Alaska,2,2014,2014/09,Male,190
Alaska,2,2014,2014/10,Female,169
Alaska,2,2014,2014/10,Male,200
Alaska,2,2014,2014/11,Female,167
Alaska,2,2014,2014/11,Male,207
Alaska,2,2014,2014/12,Female,169
Alaska,2,2014,2014/12,Male,224
Alaska,2,2015,2015/01,Female,170
Alaska,2,2015,2015/01,Male,206
Alaska,2,2015,2015/02,Female,163
Alaska,2,2015,2015/02,Male,182
Alaska,2,2015,2015/03,Female,131
Alaska,2,2015,2015/03,Male,220
Alaska,2,2015,2015/04,Female,136
Alaska,2,2015,2015/04,Male,200
Alaska,2,2015,2015/05,Female,176
Alaska,2,2015,2015/05,Male,218
Alaska,2,2015,2015/06,Female,143
Alaska,2,2015,2015/06,Male,196
Alaska,2,2015,2015/07,Female,168
Alaska,2,2015,2015/07,Male,207
Alaska,2,2015,2015/08,Female,162
Alaska,2,2015,2015/08,Male,179
Alaska,2,2015,2015/09,Female,156
Alaska,2,2015,2015/09,Male,208
Alaska,2,2015,2015/10,Female,150
Alaska,2,2015,2015/10,Male,227
Alaska,2,2015,2015/11,Female,148
Alaska,2,2015,2015/11,Male,208
Alaska,2,2015,2015/12,Female,163
Alaska,2,2015,2015/12,Male,199
Alaska,2,2016,2016/01,Female,158
Alaska,2,2016,2016/01,Male,246
Alaska,2,2016,2016/02,Female,134
Alaska,2,2016,2016/02,Male,201
Alaska,2,2016,2016/03,Female,182
Alaska,2,2016,2016/03,Male,202
Alaska,2,2016,2016/04,Female,163
Alaska,2,2016,2016/04,Male,218
Alaska,2,2016,2016/05,Female,175
Alaska,2,2016,2016/05,Male,203
Alaska,2,2016,2016/06,Female,156
Alaska,2,2016,2016/06,Male,205
